time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.14419721,-4.09E-15,0,0,0,0,0
0.033333333,0.123667895,-2.870325001,0,0,0,0,0
0.066666667,0.135693663,-3.030310803,0,0,0,0,0
0.1,0.114209974,1.82373272,0,0,0,0,0
0.133333333,0.117872018,10.63716579,0,0,0,0,0
0.166666667,0.107403778,19.27733994,0,0,0,0,0
0.2,0.109424554,23.36525802,0,0,0,0,0
0.233333333,0.094598553,21.49842329,0,0,0,0,0
0.266666667,0.09071409,16.2640988,0,0,0,0,0
0.3,0.083634218,12.18970508,0,0,0,0,0
0.333333333,0.087140756,12.27031405,0,0,0,0,0
0.366666667,0.082504465,15.84883497,0,0,0,0,0
0.4,0.089775851,19.46149026,0,0,0,0,0
0.433333333,0.097904625,19.81964997,0,0,0,0,0
0.466666667,0.111948775,16.44264349,0,0,0,0,0
0.5,0.112653805,11.90100801,0,0,0,0,0
0.533333333,0.109873895,9.671711794,0,0,0,0,0
0.566666667,0.102203649,11.46391523,0,0,0,0,0
0.6,0.104352778,16.07655493,0,0,0,0,0
0.633333333,0.103927329,20.43265165,0,0,0,0,0
0.666666667,0.109121533,21.73944053,0,0,0,0,0
0.7,0.114264359,19.11329778,0,0,1,0,0
0.733333333,0.119517056,13.74412264,0,0,1,0,0
0.766666667,0.108254048,7.888917873,0,0,1,0,0
0.8,0.096666129,3.630873384,0,0,1,0,0
0.833333333,0.091986555,2.111199139,0,0,1,0,0
0.866666667,0.09914278,3.344912045,0,0,1,0,0
0.9,0.097199137,6.408522971,0,0,1,0,0
0.933333333,0.086612289,9.861230642,0,0,1,0,0
0.966666667,0.07876796,12.36863875,0,0,1,0,0
1,0.08887684,13.34813073,0,0,1,0,0
1.033333333,0.10109813,13.22487469,0,0,1,0,0
1.066666667,0.11001727,12.99696397,0,0,1,0,0
1.1,0.105758281,13.34768458,0,0,1,0,0
1.133333333,0.094991683,14.04199834,0,0,1,0,0
1.166666667,0.081561347,14.21254479,0,0,1,0,0
1.2,0.080944701,13.35004701,0,0,1,0,0
1.233333333,0.084877046,12.06227014,0,0,1,0,0
1.266666667,0.090456369,11.7523329,0,0,1,0,0
1.3,0.089837843,13.34502658,0,0,1,0,0
1.333333333,0.090015789,16.19241273,0,0,1,0,0
1.366666667,0.094205548,18.29854535,0,0,1,0,0
1.4,0.104374253,17.87205908,0,0,1,0,0
1.433333333,0.110135227,14.92582646,0,0,1,0,0
1.466666667,0.115302465,11.44423206,0,0,1,0,0
1.5,0.113439701,9.835385096,0,0,1,0,0
1.533333333,0.106589656,10.95205106,0,0,1,0,0
1.566666667,0.097953602,13.43704542,0,0,1,0,0
1.6,0.094357492,15.00972573,0,0,1,0,0
1.633333333,0.090056426,14.54844139,0,0,1,0,0
1.666666667,0.091966118,13.0688395,0,0,1,0,0
1.7,0.095762446,12.69480843,0,0,1,0,0
1.733333333,0.096813882,14.58108153,0,0,1,0,0
1.766666667,0.090980373,17.7403905,0,0,1,0,0
1.8,0.088292509,19.89499715,0,0,1,0,0
1.833333333,0.091481661,19.56401381,0,0,1,0,0
1.866666667,0.095994223,17.40621575,0,0,1,0,0
1.9,0.092693707,15.51468516,0,0,1,0,0
1.933333333,0.092875605,15.30217107,0,0,1,0,0
1.966666667,0.100264672,15.99929322,0,0,1,0,0
2,0.112770709,15.27272483,0,0,1,0,0
2.033333333,0.119062481,11.4905605,0,0,1,0,0
2.066666667,0.117881894,5.554151939,0,0,1,0,0
2.1,0.11008048,0.514195124,0,0,1,0,0
2.133333333,0.101085758,-0.827811539,0,0,0,0,0
2.166666667,0.095290262,1.733058493,0,0,0,0,0
2.2,0.10546414,5.594331329,0,1,0,0,0
2.233333333,0.122712545,7.486528258,0,1,0,0,0
2.266666667,0.131648858,6.106598283,0,1,0,0,0
2.3,0.12372849,2.981744575,0,1,0,0,0
2.333333333,0.107838581,0.906221347,0,1,0,0,0
2.366666667,0.09295912,1.430007829,0,1,0,0,0
2.4,0.081076612,3.626415225,0,1,0,0,0
2.433333333,0.067336704,5.115777383,0,1,0,0,0
2.466666667,0.057151073,4.28111347,0,1,0,0,0
2.5,0.0550403,1.638901087,0,1,0,0,0
2.533333333,0.062478089,-0.773695815,0,1,0,0,0
2.566666667,0.069767767,-1.289950307,0,1,0,0,0
2.6,0.072191113,-0.004718033,0,1,0,0,0
2.633333333,0.069687077,1.512807265,0,1,0,0,0
2.666666667,0.066076705,1.765689646,0,1,0,0,0
2.7,0.058679108,0.644342055,0,1,0,0,0
2.733333333,0.060368181,-0.612415315,0,1,0,0,0
2.766666667,0.073734594,-0.604609064,0,1,0,0,0
2.8,0.075640225,1.07886103,0,1,0,0,0
2.833333333,0.051297855,3.716776561,0,1,0,0,0
2.866666667,0.02487159,6.232633493,0,1,0,0,0
2.9,0.015806057,8.009881224,0,1,0,0,0
2.933333333,0.023051193,9.038120575,0,1,0,0,0
2.966666667,0.028176182,9.505300542,0,1,0,0,0
3,0.025255099,9.490294853,0,1,0,0,0
3.033333333,0.019425892,9.133842585,0,0,0,0,0
3.066666667,0.018570318,8.964823967,0,0,0,0,0
3.1,0.020282561,9.779062429,0,0,1,0,0
3.133333333,0.021311765,11.96776904,0,0,1,0,0
3.166666667,0.014896196,14.93331596,0,0,1,0,0
3.2,0.007653631,17.33988555,0,0,1,0,0
3.233333333,0.009367569,18.18136852,0,0,1,0,0
3.266666667,0.025081627,17.72889983,0,0,1,0,0
3.3,0.046103347,17.34519127,0,0,1,0,0
3.333333333,0.065531868,18.14975163,0,0,1,0,0
3.366666667,0.076878507,19.70682705,0,0,1,0,0
3.4,0.082733893,20.08586911,0,0,1,0,0
3.433333333,0.089339935,17.48969266,0,0,1,0,0
3.466666667,0.103999119,12.13347827,0,0,1,0,0
3.5,0.118174059,6.622252,0,0,1,0,0
3.533333333,0.126100948,4.247837248,0,0,1,0,0
3.566666667,0.128189357,6.4551641,0,0,1,0,0
3.6,0.128136781,11.57555527,0,0,1,0,0
3.633333333,0.130035333,15.96343266,0,0,1,0,0
3.666666667,0.136511408,16.68307178,0,0,1,0,0
3.7,0.133424936,13.59740731,0,0,1,0,0
3.733333333,0.118697401,9.236859039,0,0,1,0,0
3.766666667,0.099821324,6.691877058,0,0,1,0,0
3.8,0.088688463,7.340656782,0,0,1,0,0
3.833333333,0.081119221,10.17982031,0,0,1,0,0
3.866666667,0.07713679,13.02729219,0,0,1,0,0
3.9,0.079909675,14.32066758,0,0,1,0,0
3.933333333,0.085684365,13.96985072,0,0,1,0,0
3.966666667,0.084187777,12.81224507,0,0,1,0,0
4,0.078513252,11.52095827,0,0,1,0,0
4.033333333,0.075882736,10.12504204,0,0,1,0,0
4.066666667,0.083687733,8.464639049,0,0,1,0,0
4.1,0.099583374,6.872562764,0,0,1,0,0
4.133333333,0.108293741,6.194304188,0,0,1,0,0
4.166666667,0.098188277,7.046863055,0,0,1,0,0
4.2,0.080747576,9.100518374,0,0,1,0,0
