time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.271647065,16.43803914,0,0,0,0,0
0.033333333,0.271651724,16.43803914,0,0,0,0,0
0.066666667,0.271656384,16.43803914,0,0,0,0,0
0.1,0.271661043,16.43803914,0,0,0,0,0
0.133333333,0.271665702,16.43803914,0,0,0,0,0
0.166666667,0.271670361,16.43803914,0,0,0,0,0
0.2,0.271675019,16.43803914,0,0,0,0,0
0.233333333,0.271679677,16.43803914,0,0,0,0,0
0.266666667,0.271684335,16.43803914,0,0,0,0,0
0.3,0.271688993,16.43803914,0,0,0,0,0
0.333333333,0.27169365,16.43803914,0,0,0,0,0
0.366666667,0.271698308,16.43803914,0,0,0,0,0
0.4,0.271702964,16.43803914,0,0,0,0,0
0.433333333,0.271707621,16.43803914,0,0,0,0,0
0.466666667,0.271712278,16.43803914,0,0,0,0,0
0.5,0.271716934,16.43803914,0,0,0,0,0
0.533333333,0.266705936,16.43803914,0,0,0,0,0
0.566666667,0.279201551,16.43803914,0,0,0,0,0
0.6,0.267526973,16.43803914,0,0,0,0,0
0.633333333,0.262939012,16.43803914,0,0,0,0,0
0.666666667,0.273639425,16.43803914,0,0,0,0,0
0.7,0.276749957,16.43803914,0,0,0,0,0
0.733333333,0.258899559,16.43803914,0,0,0,0,0
0.766666667,0.272485181,16.43803914,0,0,0,0,0
0.8,0.271584873,16.43803914,0,0,0,0,0
0.833333333,0.260676797,16.43803914,0,0,0,0,0
0.866666667,0.264029909,16.43803914,0,0,0,0,0
0.9,0.270329657,16.43803914,0,0,0,0,0
0.933333333,0.269728703,16.43803914,0,0,0,0,0
0.966666667,0.264480093,16.43803914,0,0,0,0,0
1,0.266286932,16.43803914,0,0,0,0,0
1.033333333,0.262072757,16.43803914,0,0,0,0,0
1.066666667,0.244913451,16.43803914,0,0,0,0,0
1.1,0.254987556,16.43803914,0,0,0,0,0
1.133333333,0.257755759,16.43803914,0,0,0,0,0
1.166666667,0.237470536,16.43803914,0,0,0,0,0
1.2,0.241878345,16.43803914,0,0,0,0,0
1.233333333,0.251626365,16.43803914,0,0,0,0,0
1.266666667,0.254295669,16.43803914,0,0,0,0,0
1.3,0.256262509,16.43803914,0,0,0,0,0
1.333333333,0.257276976,16.43803914,0,0,0,0,0
1.366666667,0.249995451,16.43803914,0,0,0,0,0
1.4,0.255878077,16.43803914,0,0,0,0,0
1.433333333,0.246684547,16.43803914,0,0,0,0,0
1.466666667,0.252473132,16.43803914,0,0,0,0,0
1.5,0.261528467,16.43803914,0,0,0,0,0
1.533333333,0.2731608,16.43803914,0,0,0,0,0
1.566666667,0.273990204,16.43803914,0,0,0,0,0
1.6,0.290237858,16.43803914,0,0,0,0,0
1.633333333,0.298314957,16.43803914,0,0,0,0,0
1.666666667,0.298021539,16.43803914,0,0,0,0,0
1.7,0.303292877,16.43803914,0,0,0,0,0
1.733333333,0.295567688,16.43803914,0,0,0,0,0
1.766666667,0.295456156,16.43803914,0,0,0,0,0
1.8,0.295855683,16.43803914,0,0,0,0,0
1.833333333,0.31158952,16.43803914,0,0,0,0,0
1.866666667,0.296342228,16.43803914,0,0,0,0,0
1.9,0.297316362,16.43803914,0,0,0,0,0
1.933333333,0.29536704,16.43803914,0,0,0,0,0
1.966666667,0.276016816,16.43803914,0,0,0,0,0
2,0.271244836,16.43803914,0,0,0,0,0
2.033333333,0.279035773,16.43803914,0,0,0,0,0
2.066666667,0.285821253,16.43803914,0,0,0,0,0
2.1,0.298829985,16.43803914,0,0,0,0,0
2.133333333,0.300067987,16.43803914,0,0,0,0,0
2.166666667,0.293593116,16.43803914,0,0,0,0,0
2.2,0.296585117,16.43803914,0,0,0,0,0
2.233333333,0.314395076,16.43803914,0,0,0,0,0
2.266666667,0.324854961,16.43803914,0,0,0,0,0
2.3,0.327144416,16.43803914,0,0,0,0,0
2.333333333,0.313377591,16.43803914,0,0,0,0,0
2.366666667,0.310599389,16.43803914,0,0,0,0,0
2.4,0.303591582,16.43803914,0,0,0,0,0
2.433333333,0.315164365,16.43803914,0,0,0,0,0
