time,dfof,speed,exp_upperObj,exp_lowerObj,Walking,rearing,Grooming
0,0.141761211,11.59306197,0,0,1,0,0
0.033333333,0.120105946,18.76241269,0,0,1,0,0
0.066666667,0.118902717,21.75379481,0,0,1,0,0
0.1,0.101830073,19.39434401,0,0,1,0,0
0.133333333,0.102130067,14.70852504,0,0,0,0,0
0.166666667,0.09126876,12.14205001,0,0,1,0,0
0.2,0.090147587,13.75777519,0,0,1,0,0
0.233333333,0.09031154,17.71747782,0,0,1,0,0
0.266666667,0.105174646,20.22087387,0,0,1,0,0
0.3,0.112311878,18.99927773,0,0,1,0,0
0.333333333,0.115741003,15.21380875,0,0,1,0,0
0.366666667,0.111073413,12.20321575,0,0,1,0,0
0.4,0.110075243,12.40162857,0,0,1,0,0
0.433333333,0.105318612,15.27640744,0,0,1,0,0
0.466666667,0.107290826,18.03756471,0,0,1,0,0
0.5,0.104707738,18.28425447,0,0,1,0,0
0.533333333,0.098801206,16.08779796,0,0,1,0,0
0.566666667,0.088684587,13.6973837,0,0,1,0,0
0.6,0.092241142,13.31739669,0,0,1,0,0
0.633333333,0.10146663,15.09734268,0,0,1,0,0
0.666666667,0.108720552,17.11292412,0,0,1,0,0
0.7,0.107080875,17.18390379,0,0,1,0,0
0.733333333,0.106769409,14.74681759,0,0,1,0,0
0.766666667,0.103819275,11.13221495,0,0,1,0,0
0.8,0.104104742,8.212852336,0,0,1,0,0
0.833333333,0.106886922,6.867899326,0,0,1,0,0
0.866666667,0.110327233,6.684741595,0,0,1,0,0
0.9,0.108021189,6.951423993,0,0,1,0,0
0.933333333,0.109992177,7.70694325,0,0,1,0,0
0.966666667,0.112299878,9.668567329,0,0,1,0,0
1,0.110367783,13.12331431,0,0,1,0,0
1.033333333,0.103618421,17.03175416,0,0,1,0,0
1.066666667,0.105372241,19.45673177,0,0,1,0,0
1.1,0.108724776,19.11143965,0,0,1,0,0
1.133333333,0.106837384,16.61859336,0,0,1,0,0
1.166666667,0.097603387,14.19708299,0,0,1,0,0
1.2,0.09498113,13.88748531,0,0,1,0,0
1.233333333,0.090589461,15.80648404,0,0,1,0,0
1.266666667,0.077359169,17.97926802,0,0,1,0,0
1.3,0.069669259,17.94742499,0,0,1,0,0
1.333333333,0.085119624,14.79803537,0,0,1,0,0
1.366666667,0.103314893,9.899927439,0,0,1,0,0
1.4,0.10411313,5.76959441,0,0,1,0,0
1.433333333,0.089275975,4.087504797,0,0,1,0,0
1.466666667,0.077390853,4.539320409,0,0,1,0,0
1.5,0.069596085,5.351760656,0,0,1,0,0
1.533333333,0.070240189,4.91491363,0,0,1,0,0
1.566666667,0.077470699,3.046544943,0,0,1,0,0
1.6,0.08521555,0.914927019,0,0,1,0,0
1.633333333,0.081831024,-0.127838314,0,0,0,0,0
1.666666667,0.067569627,0.321581646,0,0,0,0,0
1.7,0.053408593,1.551022236,0,0,0,0,0
1.733333333,0.050195815,2.511104432,0,0,0,0,0
1.766666667,0.056013695,2.727062439,0,0,0,0,0
1.8,0.066134467,2.559929691,0,0,0,0,0
1.833333333,0.067076031,2.724963628,0,0,0,0,0
1.866666667,0.062105495,3.620402027,0,0,0,0,0
1.9,0.062446544,5.065454948,0,0,0,0,0
1.933333333,0.073493174,6.569283465,0,0,0,0,0
1.966666667,0.082948132,7.781749962,0,0,0,0,0
2,0.082274162,8.726662536,0,0,1,0,0
2.033333333,0.073357379,9.723746384,0,0,1,0,0
2.066666667,0.066755203,11.17994046,0,0,1,0,0
