time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,-0.210923817,5.531575556,0,0,0,0,0
0.033333333,-0.210914196,5.531575556,0,0,0,0,0
0.066666667,-0.210904575,5.531575556,0,0,0,0,0
0.1,-0.210894954,5.531575556,0,0,0,0,0
0.133333333,-0.210885334,5.531575556,0,0,0,0,0
0.166666667,-0.210875714,5.531575556,0,0,0,0,0
0.2,-0.210866094,5.531575556,0,0,0,0,0
0.233333333,-0.210856474,5.531575556,0,0,0,0,0
0.266666667,-0.210846854,5.531575556,0,0,0,0,0
0.3,-0.210837234,5.531575556,0,0,0,0,0
0.333333333,-0.210827615,5.531575556,0,0,0,0,0
0.366666667,-0.210817996,5.531575556,0,0,0,0,0
0.4,-0.210808377,5.531575556,0,0,0,0,0
0.433333333,-0.210798758,5.531575556,0,0,0,0,0
0.466666667,-0.210789139,5.531575556,0,0,0,0,0
0.5,-0.210779521,5.531575556,0,0,0,0,0
0.533333333,-0.200897764,5.531575556,0,0,0,0,0
0.566666667,-0.198578066,5.531575556,0,0,0,0,0
0.6,-0.201087111,5.531575556,0,0,0,0,0
0.633333333,-0.201709705,5.531575556,0,0,0,0,0
0.666666667,-0.193644048,5.531575556,0,0,0,0,0
0.7,-0.189581421,5.531575556,0,0,0,0,0
0.733333333,-0.189608759,5.531575556,0,0,0,0,0
0.766666667,-0.191639776,5.531575556,0,0,0,0,0
0.8,-0.191507165,5.531575556,0,0,0,0,0
0.833333333,-0.191919098,5.531575556,0,0,0,0,0
0.866666667,-0.191860044,5.531575556,0,0,0,0,0
0.9,-0.194582151,5.531575556,0,0,0,0,0
0.933333333,-0.192303845,5.531575556,0,0,0,0,0
0.966666667,-0.194830764,5.531575556,0,0,0,0,0
1,-0.19798688,5.531575556,0,0,0,0,0
1.033333333,-0.193141756,5.531575556,0,0,0,0,0
1.066666667,-0.196718443,5.531575556,0,0,0,0,0
1.1,-0.203310767,5.531575556,0,0,0,0,0
1.133333333,-0.199520019,5.531575556,0,0,0,0,0
1.166666667,-0.197477985,5.531575556,0,0,0,0,0
1.2,-0.199562089,5.531575556,0,0,0,0,0
1.233333333,-0.196723987,5.531575556,0,0,0,0,0
1.266666667,-0.190866397,5.531575556,0,0,0,0,0
1.3,-0.185192943,5.531575556,0,0,0,0,0
1.333333333,-0.182522974,5.531575556,0,0,0,0,0
1.366666667,-0.184491855,5.531575556,0,0,0,0,0
1.4,-0.191268518,5.531575556,0,0,0,0,0
1.433333333,-0.188470795,5.531575556,0,0,0,0,0
1.466666667,-0.190750725,5.531575556,0,0,0,0,0
1.5,-0.195544982,5.531575556,0,0,0,0,0
1.533333333,-0.186480596,5.531575556,0,0,0,0,0
1.566666667,-0.195200594,5.531575556,0,0,0,0,0
1.6,-0.191587623,5.531575556,0,0,0,0,0
1.633333333,-0.188691649,5.531575556,0,0,0,0,0
1.666666667,-0.188614136,5.531575556,0,0,0,0,0
1.7,-0.184080433,5.531575556,0,0,0,0,0
1.733333333,-0.187277164,5.531575556,0,0,0,0,0
1.766666667,-0.191280847,5.531575556,0,0,0,0,0
1.8,-0.185727582,5.531575556,0,0,0,0,0
1.833333333,-0.184778068,5.531575556,0,0,0,0,0
1.866666667,-0.188972468,5.531575556,0,0,0,0,0
1.9,-0.186798361,5.531575556,0,0,0,0,0
1.933333333,-0.17867533,5.531575556,0,0,0,0,0
1.966666667,-0.178114506,5.531575556,0,0,0,0,0
2,-0.18051737,5.531575556,0,0,0,0,0
2.033333333,-0.176465649,5.531575556,0,0,0,0,0
2.066666667,-0.174986819,5.531575556,0,0,0,0,0
2.1,-0.16563007,5.531575556,0,0,0,0,0
2.133333333,-0.162812153,5.531575556,0,0,0,0,0
2.166666667,-0.161561792,5.531575556,0,0,0,0,0
2.2,-0.156661963,5.531575556,0,0,0,0,0
2.233333333,-0.149898899,5.531575556,0,0,0,0,0
2.266666667,-0.143309214,5.531575556,0,0,0,0,0
2.3,-0.145773123,5.531575556,0,0,0,0,0
2.333333333,-0.145991787,5.531575556,0,0,0,0,0
2.366666667,-0.13848737,5.531575556,0,0,0,0,0
2.4,-0.134204398,5.531575556,0,0,0,0,0
2.433333333,-0.135089632,5.531575556,0,0,0,0,0
2.466666667,-0.134511777,5.531575556,0,0,0,0,0
2.5,-0.136243908,5.531575556,0,0,0,0,0
2.533333333,-0.137055454,5.531575556,0,0,0,0,0
2.566666667,-0.13106977,5.531575556,0,0,0,0,0
2.6,-0.130609671,5.531575556,0,0,0,0,0
2.633333333,-0.133674875,5.531575556,0,0,0,0,0
2.666666667,-0.135999226,5.531575556,0,0,0,0,0
2.7,-0.129423756,5.531575556,0,0,0,0,0
2.733333333,-0.125943787,5.531575556,0,0,0,0,0
2.766666667,-0.126898465,5.531575556,0,0,0,0,0
2.8,-0.123993662,5.531575556,0,0,0,0,0
2.833333333,-0.120874834,5.531575556,0,0,0,0,0
2.866666667,-0.124124861,5.531575556,0,0,0,0,0
2.9,-0.121358677,5.531575556,0,0,0,0,0
2.933333333,-0.116519664,5.531575556,0,0,0,0,0
2.966666667,-0.118171704,5.531575556,0,0,0,0,0
3,-0.119724295,5.531575556,0,0,0,0,0
3.033333333,-0.109580925,5.531575556,0,0,0,0,0
3.066666667,-0.118708933,5.531575556,0,0,0,0,0
3.1,-0.10830374,5.531575556,0,0,0,0,0
3.133333333,-0.088777278,5.531575556,0,0,0,0,0
3.166666667,-0.088691511,5.531575556,0,0,0,0,0
3.2,-0.080886593,5.531575556,0,0,0,0,0
3.233333333,-0.071879637,5.531575556,0,0,0,0,0
3.266666667,-0.070167997,5.531575556,0,0,0,0,0
3.3,-0.074676344,5.531575556,0,0,0,0,0
3.333333333,-0.070930283,5.531575556,0,0,0,0,0
3.366666667,-0.071700217,5.531575556,0,0,0,0,0
3.4,-0.081276179,5.531575556,0,0,0,0,0
3.433333333,-0.094556169,5.531575556,0,0,0,0,0
3.466666667,-0.09879945,5.531575556,0,0,0,0,0
3.5,-0.089266036,5.531575556,0,0,0,0,0
3.533333333,-0.082213456,5.531575556,0,0,0,0,0
3.566666667,-0.073977988,5.531575556,0,0,0,0,0
3.6,-0.06768273,5.531575556,0,0,0,0,0
3.633333333,-0.058943692,5.531575556,0,0,0,0,0
3.666666667,-0.052672615,5.531575556,0,0,0,0,0
3.7,-0.051385643,5.531575556,0,0,0,0,0
3.733333333,-0.050396706,5.531575556,0,0,0,0,0
3.766666667,-0.051975934,5.531575556,0,0,0,0,0
3.8,-0.052545334,5.531575556,0,0,0,0,0
3.833333333,-0.047859796,5.531575556,0,0,0,0,0
3.866666667,-0.0578303,5.531575556,0,0,0,0,0
3.9,-0.061171564,5.531575556,0,0,0,0,0
3.933333333,-0.056684415,5.531575556,0,0,0,0,0
3.966666667,-0.060043037,5.531575556,0,0,0,0,0
4,-0.068331505,5.531575556,0,0,0,0,0
4.033333333,-0.055942,5.531575556,0,0,0,0,0
4.066666667,-0.045685869,5.531575556,0,0,0,0,0
4.1,-0.04802025,5.531575556,0,0,0,0,0
4.133333333,-0.047900403,5.531575556,0,0,0,0,0
4.166666667,-0.051934823,5.531575556,0,0,0,0,0
4.2,-0.051799116,5.531575556,0,0,0,0,0
4.233333333,-0.043839966,5.531575556,0,0,0,0,0
4.266666667,-0.047922642,5.531575556,0,0,0,0,0
4.3,-0.043943859,5.531575556,0,0,0,0,0
4.333333333,-0.043630301,5.531575556,0,0,0,0,0
4.366666667,-0.038479125,5.531575556,0,0,0,0,0
4.4,-0.042374339,5.531575556,0,0,0,0,0
4.433333333,-0.044018603,5.531575556,0,0,0,0,0
4.466666667,-0.043970872,5.531575556,0,0,0,0,0
4.5,-0.036386265,5.531575556,0,0,0,0,0
4.533333333,-0.03935557,5.531575556,0,0,0,0,0
4.566666667,-0.0331245,5.531575556,0,0,0,0,0
4.6,-0.026546155,5.531575556,0,0,0,0,0
4.633333333,-0.02391831,5.531575556,0,0,0,0,0
4.666666667,-0.026219817,5.531575556,0,0,0,0,0
4.7,-0.028896072,5.531575556,0,0,0,0,0
4.733333333,-0.029040506,5.531575556,0,0,0,0,0
4.766666667,-0.028950223,5.531575556,0,0,0,0,0
4.8,-0.024159354,5.531575556,0,0,0,0,0
4.833333333,-0.026414966,5.531575556,0,0,0,0,0
4.866666667,-0.027284485,5.531575556,0,0,0,0,0
4.9,-0.023837254,5.531575556,0,0,0,0,0
4.933333333,-0.020238402,5.531575556,0,0,0,0,0
4.966666667,-0.023238945,5.531575556,0,0,0,0,0
5,-0.020689933,5.531575556,0,0,0,0,0
5.033333333,-0.021149717,5.531575556,0,0,0,0,0
5.066666667,-0.012469798,5.531575556,0,0,0,0,0
5.1,-0.022067407,5.531575556,0,0,0,0,0
5.133333333,-0.018874502,5.531575556,0,0,0,0,0
5.166666667,-0.018128291,5.531575556,0,0,0,0,0
5.2,-0.020313642,5.531575556,0,0,0,0,0
5.233333333,-0.017266396,5.531575556,0,0,0,0,0
5.266666667,-0.017972369,5.531575556,0,0,0,0,0
5.3,-0.017802172,5.531575556,0,0,0,0,0
5.333333333,-0.008665581,5.531575556,0,0,0,0,0
5.366666667,-0.006466809,5.531575556,0,0,0,0,0
5.4,-0.011219206,5.531575556,0,0,0,0,0
5.433333333,-0.015770914,5.531575556,0,0,0,0,0
5.466666667,-0.013482218,5.531575556,0,0,0,0,0
5.5,-0.015967894,5.531575556,0,0,0,0,0
5.533333333,-0.028575185,5.531575556,0,0,0,0,0
5.566666667,-0.018441104,5.531575556,0,0,0,0,0
5.6,-0.019980195,5.531575556,0,0,0,0,0
5.633333333,-0.024981501,5.531575556,0,0,0,0,0
5.666666667,-0.025668578,5.531575556,0,0,0,0,0
5.7,-0.021778035,5.531575556,0,0,0,0,0
5.733333333,-0.007095933,5.531575556,0,0,0,0,0
5.766666667,-0.00682943,5.531575556,0,0,0,0,0
5.8,-0.000163913,5.531575556,0,0,0,0,0
5.833333333,0.009325004,5.531575556,0,0,0,0,0
5.866666667,-0.009045233,5.531575556,0,0,0,0,0
5.9,-0.015786852,5.531575556,0,0,0,0,0
