time,dfof,speed,exp_non_statobj,exp_statobj,walking,rearings,grooming
0,0.006575685,0.082156504,1,0,0,0,0
0.033333333,0.092057386,30.91908179,1,0,0,0,0
0.066666667,0.075605316,60.60933861,1,0,0,0,0
0.1,0.110400447,0.016398553,1,0,0,0,0
0.133333333,0.125213816,24.71949615,1,0,0,0,0
0.166666667,0.132574971,21.24298952,1,0,0,0,0
0.2,0.11200415,0.019077291,1,0,0,0,0
0.233333333,0.104574444,49.3335309,1,0,0,0,0
0.266666667,0.102747353,8.294497239,1,0,0,0,0
0.3,0.12312524,0.010064463,1,0,0,0,0
0.333333333,0.141961231,3.92333816,1,0,0,0,0
0.366666667,0.157660684,6.472034964,1,0,0,0,0
0.4,0.146144704,0.001287792,1,0,0,0,0
0.433333333,0.130013932,3.577760285,1,0,0,0,0
0.466666667,0.123490827,3.876303118,1,0,0,0,0
0.5,0.131718588,0.012552918,1,0,0,0,0
0.533333333,0.129980544,1.931380817,1,0,0,0,0
0.566666667,0.123310085,1.776124234,1,0,0,0,0
0.6,0.117924411,0.003266064,1,0,0,0,0
0.633333333,0.125611651,2.983636365,1,0,0,0,0
0.666666667,0.13319287,0.562474201,1,0,0,0,0
0.7,0.151737676,0.006970881,1,0,0,0,0
0.733333333,0.175124193,4.369874995,1,0,0,0,0
0.766666667,0.196592026,0.531845236,1,0,0,0,0
0.8,0.200188811,0.003992652,1,0,0,0,0
0.833333333,0.18587341,5.826378321,1,0,0,0,0
0.866666667,0.156004467,50.45461967,1,0,0,0,0
0.9,0.136120385,0.069338025,1,0,0,0,0
0.933333333,0.137065771,38.3565464,0,0,0,0,0
0.966666667,0.156146449,21.82710792,0,0,0,0,0
1,0.155753233,21.82710792,0,0,1,0,0
1.033333333,0.130786772,21.82710792,0,0,1,0,0
1.066666667,0.115958103,59.38624856,0,0,1,0,0
1.1,0.136033726,0.003079973,0,0,1,0,0
1.133333333,0.161177518,27.27806377,0,0,1,0,0
1.166666667,0.162946475,31.65899659,0,0,1,0,0
1.2,0.144624707,0.021151811,0,0,1,0,0
1.233333333,0.145984306,42.80161253,0,0,1,0,0
1.266666667,0.166379504,41.64669633,0,0,1,0,0
1.3,0.180784434,0.001453301,0,0,1,0,0
1.333333333,0.172380364,81.31859377,0,0,1,0,0
1.366666667,0.158095518,40.08083499,0,0,1,0,0
1.4,0.15028815,0.01924166,0,0,1,0,0
